Edge_Start,CNT_CHILDREN,Target,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,AGE,YEARS_EMPLOYED,YEARS_REGISTRATION,YEARS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,YEARS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,WEEKDAY_APPR_PROCESS_START,ORGANIZATION_TYPE
FLAG_MOBIL,0.002377078,0.002058763,0.002158734,0.002085652,0.002123871,0.002322462,0.00234494,0.002219032,0.002211857,0.002150301,0.002084255,0,0.002015049,0.002061077,0.002068654,0.001986544,0.00236929,0.002349693,0.002194932,0.002066113,0.002077174,0.002178829,0.002225425,0.002349858,0.002236741,0.002092457,0.002234508,0.002222699,0.002328918,0.002191528,0.002070925,0.002207882,0.002291142,0.002178848,0.002249129,0.002050999,0.002055284,0.002109415,0.002244791,0.002203212,0.002068628,0.002244501,0.001943746,0.002354387,0.002159963,0.002075783,0.002359962,0.002309006,0.002019402,0.00219975
FLAG_EMP_PHONE,0.00223457,0.002926987,0.00303074,0.003330397,0.003107944,0.002491089,0.00219858,1.459397197,2.936444998,0.002986195,2.22636652,0.002383305,0,0.474848747,0.002245896,0.002080892,0.002369743,0.012348342,0.002235688,0.002099771,0.003523321,0.002466267,0.002557087,0.002174066,0.002445077,0.002560433,0.005604647,0.002001908,0.002316593,0.002264061,0.002465561,0.002405114,0.002236756,0.002213043,0.002424028,0.002185445,0.002218879,0.002196125,0.002665587,0.008937529,0.003612223,0.002207993,0.002383596,1.793180585,0.005252887,0.003007648,0.001966375,2.793086529,0.002184542,1.685995102
FLAG_WORK_PHONE,0.00203812,0.027186632,0.002200227,0.003124191,0.003171271,0.004879604,0.002431296,0.050835639,0.002547165,0.002222089,0.003078585,0.002206095,1.27200973,0,0.002147868,1.276610255,0.002059781,0.001789919,0.002183098,0.002371817,0.002581587,0.002042288,0.002133389,0.002852918,0.002226913,0.00248076,0.00233193,0.002223894,0.00220322,0.002121182,0.0024446,0.002192287,0.002212384,0.002161511,0.002248557,0.001801303,0.002450325,0.001980267,0.002372573,0.002311768,0.002237257,2.891319513,0.002526343,0.003040052,0.002165416,0.002515976,0.002416902,0.002977359,0.002527026,0.002840297
FLAG_CONT_MOBILE,0.002159141,0.00260764,0.002331892,0.016579131,0.002471785,0.00205671,0.002248935,0.002747788,0.004259192,0.002834908,0.002213711,0.002497701,0.002129692,0.002434766,0,0.002301057,0.002233746,0.003255912,0.002391641,0.002623382,0.002748165,0.002487567,0.002134997,0.00221551,0.006682252,0.054365683,0.003548156,0.002489956,0.002309413,0.002167478,0.002219105,0.002369553,0.002230412,0.002220177,0.002393536,2.250376225,0.002479226,0.002265508,2.200705051,0.007372951,0.002259167,0.00270767,0.002279838,0.002212918,0.062705174,0.003336209,0.002143262,0.002334345,0.002214631,0.002133844
FLAG_PHONE,0.002552756,0.003271596,0.002122234,0.002187107,0.001941137,0.007726708,0.002197885,0.002151085,0.002336121,0.002243131,0.002110462,0.002160924,0.005048028,1.091434717,0.00220719,0,0.002386376,0.002672236,0.002425815,0.00224205,0.002169667,0.002407134,0.001970665,0.002121877,0.002247761,0.002516145,0.00223952,0.004825506,0.00221379,0.002718125,0.00384625,0.00690953,0.001862581,0.002122255,0.001689503,0.002016976,0.00223222,0.002391262,0.00238857,0.002205248,0.002973351,0.003769996,0.00217043,0.002187492,0.002615748,0.00218966,0.002163249,0.002615237,0.002448566,0.002341639
FLAG_EMAIL,0.001997204,0.002293309,0.002518291,0.002418592,0.002147817,0.003364755,0.002352883,0.138111815,0.002314744,0.002207612,0.002621789,0.002404132,0.002840505,0.002566348,0.002120343,0.004308362,0,0.002878526,0.001708434,0.002275694,0.002267705,0.002483202,0.002185304,0.002655861,0.002163187,0.003179128,0.002051583,0.001802512,0.002253671,0.00231251,0.002563404,0.002145555,0.002116696,0.002389175,0.002147266,0.002186761,0.002370332,0.002144072,0.002151493,0.002368224,0.002520743,0.003024471,0.002113907,0.002168958,0.026897123,0.001829711,0.002004406,0.002668269,0.001923432,0.003131989
CNT_FAM_MEMBERS,2.989141941,0.002298373,0.002079498,0.003055553,0.002620318,0.001978811,0.002095136,0.01856477,0.003116003,0.003489375,0.0023432,0.002019654,0.196705818,0.002378359,0.002462262,0.002425337,0.002325944,0,0.00260015,0.002005646,0.002132215,0.002404026,0.003008052,0.002979547,0.002026365,0.004676875,0.00254057,0.002571556,0.002323459,0.002606847,0.002224883,0.002324945,0.002065593,0.002380022,0.002350427,0.002268862,0.002213049,0.002237083,0.002466476,0.002364824,0.005510185,0.002948981,0.00251835,0.002094249,0.002926572,1.597145319,0.002026213,0.003720103,0.002296853,0.004587912
REGION_RATING_CLIENT,0.002134036,0.012866543,0.00537286,0.002083398,0.00249532,0.002091934,2.319580078,0.003378373,0.002369428,0.00261263,0.002368877,0.002199509,0.002940324,0.002235003,0.002145974,0.465175658,0.002161457,0.002486862,0,1.599571347,2.731728077,0.002150928,0.002293105,0.002171014,0.00224241,0.002213875,0.002824954,0.005916242,0.002171692,0.001713046,0.002063349,0.002304854,0.002084193,0.002184595,0.00222843,0.001995714,0.001959213,0.002434015,0.002238777,0.002477558,0.002458064,0.00244244,0.002283447,0.009306785,0.003997431,0.002186598,0.002222522,0.002577499,0.002348465,0.00231884
REGION_RATING_CLIENT_W_CITY,0.002251851,0.010479871,0.006337921,0.001858198,0.002336345,0.002534222,2.363251925,0.002913707,0.002260443,0.00231735,0.002311247,0.00197276,0.002105377,0.002340593,0.002161241,0.004855771,0.002519709,0.002470963,1.612635732,0,0.031150011,0.002356608,0.002033943,0.002504995,0.002330477,0.00202612,0.002652074,0.002891934,0.002114641,0.00175881,0.002465871,0.002640769,0.002069463,0.0021103,0.002102623,0.002237604,0.002297916,0.002859897,0.002204857,0.002332292,0.002285005,0.002527419,0.002314476,0.003532851,0.002698219,0.002183327,0.002243832,0.002177546,0.002397677,0.00238695
HOUR_APPR_PROCESS_START,0.00235039,0.002211372,0.002302321,0.00244633,0.001930329,0.002223029,0.002082773,0.002484332,0.002024815,0.002429284,0.002476659,0.002138606,0.004409737,0.002271911,0.002306846,0.002244488,0.00204223,0.00185233,0.004992126,0.001884838,0,0.002049104,0.002360106,0.002108883,0.002567144,0.003340873,0.002061447,0.001911382,0.00383987,0.002363769,0.002447215,0.002295001,0.002205328,0.002217074,0.001977211,0.002259884,0.002412004,0.002313675,0.002034782,0.002115707,0.002968572,0.004023964,0.002268884,0.002375807,0.003616321,0.002474091,0.00204523,0.002344662,0.002631369,0.346429169
REG_REGION_NOT_LIVE_REGION,0.002336164,0.00232,0.002641997,0.254046023,0.001944992,0.002472331,0.003034197,0.113598756,0.002543102,0.002225515,0.02573243,0.002172641,0.031628519,1.291220307,0.002113791,0.523380458,0.002429315,0.003918198,0.002676554,0.002114749,0.002545176,0,0.057352353,0.003260272,2.95831728,0.022298349,0.011798505,0.004560931,0.020853516,0.002131162,0.001709979,0.003363783,0.002542116,0.002283335,0.004472701,0.00273883,0.002390142,0.002961502,0.002451875,0.032028779,0.002796269,0.002790967,0.002201065,0.013431434,0.006838561,0.002732722,0.002202842,0.003216981,0.002188363,0.003151319
REG_REGION_NOT_WORK_REGION,0.002319308,0.002329367,0.011138304,0.561219454,0.002250601,0.002323573,0.00199932,0.082286738,0.002626583,0.002203275,1.647853732,0.002401192,0.003786822,0.003174684,0.002112583,0.002118879,0.002144161,0.976857185,0.001839685,0.002074712,0.002359014,2.933145046,0,0.091950275,0.003986289,0.140589505,0.004103695,0.005672213,0.002740292,0.001662701,0.940490544,0.002292,0.002146592,0.002278913,0.002078113,0.002469656,0.002132779,0.002400938,0.002252725,0.007505633,0.002310249,0.002790618,0.002418577,0.006889675,0.003165272,0.003262969,0.002125549,0.002415237,0.002577073,0.001917809
LIVE_REGION_NOT_WORK_REGION,0.002141491,0.002922217,1.463050604,0.006962765,0.002392123,0.002248659,0.0023173,0.003031207,0.002891381,0.002649009,0.011339552,0.002319036,0.00276686,0.002559562,0.002314623,0.003492667,0.002372355,0.014887052,0.005629782,0.002308065,0.002238064,1.402453303,2.984220743,0,0.002396158,0.003558804,0.920314491,0.003125088,0.002531488,0.002642805,0.002360302,0.003007396,0.002379022,0.002187927,0.002844079,0.002519605,0.002220901,0.002260677,0.002237464,0.311460793,0.002336815,0.00238906,0.002381885,0.003282697,0.003563912,0.003514801,0.002096706,0.002150408,0.002606471,0.004222
REG_CITY_NOT_LIVE_CITY,0.002446165,0.002604092,0.002250843,0.002711843,0.00246874,0.00239217,0.002405681,0.00981036,0.00295223,0.002389955,0.00351196,0.002240058,0.009825466,0.002334882,0.002235167,0.486021966,0.002367979,0.006448852,0.002687807,0.001907062,0.00262385,0.006623801,0.002797263,0.002548358,0,2.361121893,0.009904064,0.002231917,0.004010982,0.002553058,0.002095803,0.002641564,0.002237111,0.00235541,0.00233485,0.002314135,0.002130267,0.002384869,0.002047154,0.008814978,0.002347633,0.002710353,0.002258903,0.002249913,0.002664317,0.002561338,0.002200271,0.002871362,0.002189916,0.010171742
REG_CITY_NOT_WORK_CITY,0.002445519,0.005528534,0.00255407,0.002255755,0.00241203,0.001836274,0.002398372,0.006865412,0.002765533,0.003247053,0.003080787,0.002171552,1.524913311,0.002280923,0.002281502,0.002529384,0.002063346,0.002733766,0.002416593,0.002673613,0.002482856,0.002232462,0.004768984,0.002292326,0.023601135,0,1.569165111,0.002692678,0.002291064,0.002184683,0.002145071,0.00241892,0.002342766,0.002097356,0.00211698,0.002257949,0.002262405,0.00181114,0.002222727,0.239814728,0.002359105,0.002535105,0.002187524,0.002914798,0.002708464,0.002237867,0.002034634,0.003104795,0.002115153,0.012108638
LIVE_CITY_NOT_WORK_CITY,0.002377004,0.009746195,0.00223015,0.002085376,0.002114902,0.002039459,0.002185636,0.002585897,0.009200377,0.002581287,0.002422211,0.002289219,1.129658461,0.002916484,0.00231093,0.002148355,0.002275888,0.00330366,0.002806412,0.002226222,0.002026459,0.002017928,0.002313307,0.667568505,0.002356697,1.540798068,0,0.001818894,0.002205527,0.002072379,0.001985963,0.002266893,0.002090652,0.002397584,0.002273073,0.002415727,0.002297396,0.002181273,0.002152753,0.005521305,0.002376326,0.002738834,0.002268629,0.002783133,0.002274964,0.001965044,0.002027585,0.005477891,0.002141315,0.047692522
OBS_30_CNT_SOCIAL_CIRCLE,0.00224642,0.002432722,0.002450973,0.002324503,0.002709581,0.002202614,0.002426428,0.002355166,0.002266401,0.002103043,0.002171045,0.002055271,0.005056901,0.001884071,0.002369469,0.002559701,0.002289771,0.002162721,0.002610444,0.002179811,0.002541299,0.002061606,0.002709188,0.002327761,0.002053996,0.004703973,0.002171242,0,0.00648149,1.122018695,0.002292666,0.002925766,0.002296129,0.001906138,0.002198053,0.002222801,0.002163878,0.002303447,0.002217394,0.002771236,0.002371106,0.002468825,0.00217202,0.002397664,0.002487705,0.002338632,0.002333989,0.002139842,0.002280683,0.002371452
DEF_30_CNT_SOCIAL_CIRCLE,0.002343568,0.008892387,0.002206675,0.002117254,0.001922119,0.002020703,0.002156855,0.002099419,0.002066704,0.002268021,0.002479963,0.002073048,0.002947496,0.002241665,0.00215824,0.002575687,0.002532053,0.00198326,0.002523916,0.001852727,0.002452382,0.002565894,0.002182346,0.002392737,0.002277342,0.001982976,0.003221512,2.096467495,0,0.002983078,0.161800653,0.002129768,0.002347485,0.002239945,0.002422573,0.002475837,0.002137078,0.002310673,0.002083601,0.002718746,0.002471833,0.002342535,0.002382318,0.00220738,0.002116441,0.002210937,0.00218764,0.002330604,0.0020473,0.002697725
OBS_60_CNT_SOCIAL_CIRCLE,0.0025258,0.002671974,0.002569072,0.002426134,0.002708302,0.002210726,0.002235536,0.002930464,0.002706731,0.002441853,0.002268756,0.002116339,0.002227993,0.002246108,0.002247086,0.002410914,0.002218063,0.002079306,0.003868044,0.001818527,0.002415509,0.002383656,0.002828494,0.001798901,0.002042386,0.006787783,0.002420453,1.561738372,0.065848313,0,0.003306141,0.003326822,0.002280523,0.00241597,0.002426769,0.002221837,0.002073856,0.002126188,0.002191824,0.002767554,0.002303799,0.002186563,0.002202708,0.002382508,0.002119056,0.00310234,0.002396081,0.002044624,0.002320142,0.002073761
DEF_60_CNT_SOCIAL_CIRCLE,0.002109555,0.006769523,0.002946307,0.002474325,0.002435042,0.002062194,0.00191848,0.002831257,0.003616672,0.002396577,0.002368043,0.00228759,0.002758685,0.002522054,0.002107449,0.00232739,0.002189122,0.002957832,0.002426382,0.002318535,0.002034491,0.002214341,0.002687027,0.002988257,0.00212967,0.002424811,0.002158799,0.014817178,2.939543247,0.585620821,0,0.002403944,0.002314111,0.002161083,0.002243421,0.002265893,0.00251095,0.002252067,0.002308052,0.002363937,0.002529317,0.002435969,0.002113841,0.002358417,0.002124691,0.00188185,0.002384584,0.002331454,0.002566984,0.002341201
YEARS_LAST_PHONE_CHANGE,0.002987249,2.493239403,0.00258432,0.002020574,0.002085339,0.001956439,0.002469113,0.009973824,0.00247476,0.002896505,0.00250233,0.002240697,0.002900515,0.002388056,0.002069804,0.003476451,0.002471717,0.002250002,0.002152028,0.002297232,0.002283723,0.002261095,0.002597449,0.002000833,0.002113494,0.002751624,0.003043856,0.003121583,0.001918477,0.002090079,0.00184153,0,0.002159725,0.002252757,0.0020772,0.002121526,0.00211571,0.002299691,0.002345195,0.002549017,0.003772583,0.002039804,0.002144471,0.002264924,0.002581,0.00208167,0.002237086,0.002131892,0.002194344,0.002219821
AMT_REQ_CREDIT_BUREAU_HOUR,0.002466231,0.003231862,0.002284139,0.002337784,0.002294347,0.002369866,0.002529433,0.002472473,0.002420462,0.002375294,0.002210231,0.002267372,0.002892308,0.011581003,0.001974806,0.008759998,0.002220389,0.002947101,0.002222325,0.002334429,0.002303767,0.002399113,0.002292146,0.002998757,0.002212506,0.003997313,0.002506387,0.003271145,0.002703047,0.00218231,0.001891696,0.0023471,0,0.002383746,0.004093145,0.002150852,0.002364227,0.00203112,0.001800599,0.00266877,0.002374359,0.002585958,0.002398942,0.001975313,0.003643445,0.002355341,0.002412705,0.00287191,0.002212385,0.002484259
AMT_REQ_CREDIT_BUREAU_DAY,0.002146605,0.002536428,0.00242402,0.002116992,0.002378689,0.002438426,0.002454932,0.002183447,0.002076958,0.006369865,0.002718915,0.002180006,0.002059229,0.002357813,0.002213632,0.002041802,0.002150053,0.002297251,0.003127206,0.002051372,0.002511146,0.002219488,0.002246748,0.00212799,0.001961094,0.002373089,0.00248313,0.002655989,0.001880369,0.002147961,0.00239263,0.002430488,0.00218965,0,0.002555283,0.002214174,0.002866438,0.002085535,0.002406161,0.002371388,0.002934088,0.002730551,0.002267344,0.002188268,0.002584001,0.002288941,0.002569854,0.00416131,0.002209456,0.002321726
AMT_REQ_CREDIT_BUREAU_WEEK,0.002223121,0.005931407,0.002213584,0.002455785,0.002242414,0.00228223,0.002348044,0.002136053,0.002512749,0.002388333,0.00233466,0.002006846,0.001879337,0.002484465,0.002028267,0.003322954,0.002349356,0.003044776,0.002221591,0.002232458,0.002194681,0.002186907,0.002421651,0.00226578,0.00251375,0.002179896,0.002035508,0.002387514,0.002397943,0.002631167,0.003443555,0.002683034,0.002017064,0.002162545,0,0.002481144,0.001928037,0.002504783,0.002426126,0.003090237,0.002073392,0.003226684,0.002450784,0.002971162,0.002001497,0.002472455,0.002190085,0.00270453,0.002193326,0.002293125
AMT_REQ_CREDIT_BUREAU_MON,0.002281888,0.011230251,0.002031311,0.004137815,0.002338991,0.002470294,0.002365816,1.422795057,0.002822189,0.002147173,0.003030405,0.002154087,0.003403805,0.002552982,0.002271464,0.00218855,0.002153965,0.002018175,0.002078806,0.002007614,0.002562377,0.002827253,0.002161617,0.002695302,0.002379413,0.004085836,0.003636599,0.00208444,0.002216535,0.002332884,0.00180355,0.00311385,0.002204769,0.002099176,0.002232135,0,0.002417448,0.002230642,0.00213294,0.007599557,0.00233799,0.003620288,0.002078573,0.002287906,0.003545831,0.003100597,0.002348535,0.002087275,0.002334087,0.002753236
AMT_REQ_CREDIT_BUREAU_QRT,0.002258599,0.022868259,0.002267661,0.002420248,0.002158742,0.002296659,0.001941811,0.002201043,0.002523319,0.00254234,0.002389799,0.002104141,0.00223262,0.00224935,0.002148706,0.002857134,0.002098489,0.002830182,0.003622264,0.002274424,0.002138304,0.00223843,0.002358891,0.002210973,0.002239558,0.002814969,0.00246164,0.002477075,0.00219696,0.002036358,0.002065576,0.002391077,0.00219429,0.002206272,0.002412557,0.002089864,0,0.002303171,0.002169412,0.002411481,0.002259351,0.002115677,0.002151173,0.002714516,0.002511634,0.002213286,0.00205267,0.002124969,0.00216159,0.002727102
AMT_REQ_CREDIT_BUREAU_YEAR,0.002094896,0.004711096,0.002423828,0.003204636,0.002088404,0.002320059,0.002242666,0.002417304,0.002101629,0.002459031,0.0037461,0.002218987,0.003322006,0.002502982,0.00235681,0.002256688,0.002182312,0.00207197,0.00211693,0.002043451,0.00225189,0.002433874,0.002208782,0.002564548,0.002369536,0.005365258,0.002250752,0.002112042,0.002360491,0.0034672,0.002186875,0.565989733,0.002280732,0.002177124,0.001964416,0.002280715,0.002252094,0,0.002067148,0.003081409,0.002383577,0.002806477,0.002136209,0.002148265,0.002949906,0.002025539,0.002308357,0.002313723,0.002108843,0.002711986
NAME_CONTRACT_TYPE,0.002456811,0.0040755,0.004417877,0.978343487,0.011910321,0.00207743,0.00241978,0.004103489,0.002197531,0.003311125,0.002715001,0.002256896,0.003087121,0.002272553,0.004798649,0.003467457,0.002436409,0.002265349,0.002043007,0.002418313,0.002334343,0.002598389,0.002213799,0.002069642,0.002897009,0.003377473,0.005560264,0.046186369,0.001878584,0.002120443,0.002547405,0.002278187,0.002354295,0.002177261,0.002063947,0.003589034,0.002548633,0.002115366,0,0.00818163,0.002302859,0.00309744,0.002477356,0.002257684,0.564954638,0.002515772,0.002185628,0.002749175,0.002424137,0.00325106
